case_nr,case_link,case_address,month
"BG Favoriten, 44 S 37/06h",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/3d699f0aa3ae27bfc1257a6c00585ca9!OpenDocument,1100,2007-01-01
"BG Favoriten, 44 S 27/06p",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/141007f8361f9be7c1257a6c00585bbe!OpenDocument,1100,2007-01-01
"BG Silz, 5 S 9/05a",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/30ffb9964238c643c1257a6c006e1b87!OpenDocument,6416,2007-01-01
"BG Neumarkt bei Salzburg, 3 S 2/06h",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/0c0bf3d02b566306c1257a6c00687917!OpenDocument,5202,2007-01-01
"BG Wiener Neustadt, 10 S 1/07x",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/a919b49dd607aa13c1257a6c006303eb!OpenDocument,2490,2007-01-01
"LG Leoben, 17 S 1/07a",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/116279156af49674c1257a6c006a5d76!OpenDocument,8750,2007-01-01
"LG Leoben, 17 S 73/06p",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/321e09b25ecf3196c1257a6c006a5d5a!OpenDocument,8755,2007-01-01
"BG Favoriten, 45 S 1/07y",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/b980bd2e4e85033fc1257a6c005887ba!OpenDocument,1100,2007-01-01
"BG Fünfhaus, 16 S 14/06a",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/694115c523c8943cc1257a6c0059220d!OpenDocument,1150,2007-01-01
"BG Bregenz, 22 S 6/07m",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/cf1d36a2353870ffc1257a6c00708ec7!OpenDocument,6900,2007-01-01
"BG Favoriten, 13 S 4/06b",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/2254a448af9b5cb9c1257a6c0057ed82!OpenDocument,1100,2007-01-01
"BG Leopoldstadt, 22 S 39/06z",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/8d2cfdbb268097f0c1257a6c0060c368!OpenDocument,1020,2007-01-01
"BG Innere Stadt Wien, 71 S 25/06p",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/e52dbb3f2c2e39b5c1257a6c00557137!OpenDocument,1030,2007-01-01
"BG Innere Stadt Wien, 71 S 26/06k",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/3e09ab1d2d893508c1257a6c00557151!OpenDocument,1030,2007-01-01
"BG Innere Stadt Wien, 71 S 20/06b",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/64c8b483d989569dc1257a6c00557071!OpenDocument,1060,2007-01-01
"BG Gloggnitz, 5 S 8/06d",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/54388415dcf6ccfdc1257a6c0062c448!OpenDocument,2640,2007-01-01
"BG Leopoldstadt, 20 S 30/05k",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/9978f0c16aaa2495c1257a6c00600a50!OpenDocument,1200,2007-01-01
"BG Innere Stadt Wien, 71 S 23/06v",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/7659f951b11bffe6c1257a6c00557095!OpenDocument,1040,2007-01-01
"BG Donaustadt, 12 S 2/07z",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/896f6c6ecc338025c1257a6c005bb60a!OpenDocument,1220,2007-01-01
"BG Gmünd in Niederösterreich, 1 S 3/06s",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/5bb580e3a8329c67c1257a6c005dc5e6!OpenDocument,3970,2007-01-01
"BG Favoriten, 46 S 43/06f",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/f77d65a5805b65b4c1257a6c0058c336!OpenDocument,1100,2007-01-01
"BG Telfs, 6 S 17/06x",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/11e834b903c465bcc1257a6c006f1035!OpenDocument,6170,2007-01-01
"BG Innsbruck, 25 S 5/06s",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/1195ac64f9ea4034c1257a6c006ef034!OpenDocument,6020,2007-01-01
"BG Sankt Veit an der Glan, 1 S 23/04z",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/ce1a7cdc70a99bb2c1257a6c006d73d3!OpenDocument,9361,2007-01-01
"BG Wiener Neustadt, 10 S 5/06h",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/d0f0c58d0d7f8ac7c1257a6c00630349!OpenDocument,2493,2007-01-01
"BG Kufstein, 6 S 7/07b",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/4e62c606799454f3c1257a6c006f9066!OpenDocument,6330,2007-01-01
"BG Bregenz, 22 S 57/06k",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/b11d611e86c5d5a2c1257a6c00708e3a!OpenDocument,6911,2007-01-01
"BG Silz, 5 S 2/07z",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/eed450dee6a06110c1257a6c006e1d94!OpenDocument,6421,2007-01-01
"BG Wiener Neustadt, 3 S 21/06k",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/8f0d54530d134a00c1257a6c0062e65f!OpenDocument,2700,2007-02-01
"BG Innsbruck, 21 S 63/06s",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/8dd3a3bd506e88e9c1257a6c006e5919!OpenDocument,6020,2007-02-01
"BG Hall (in Tirol), 13 S 37/05d",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/16c2604ab084f700c1257a6c006e2fa0!OpenDocument,6075,2007-02-01
"HG Wien, 28 S 19/07h",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/acc00ae56c6dc456c1257a6c00575f93!OpenDocument,1180,2007-02-01
"HG Wien, 28 S 73/06y",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/85f611e8a810ba8ac1257a6c00575f6c!OpenDocument,1150,2007-02-01
"BG Innere Stadt Wien, 63 S 28/06w",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/dc91821c5f20d673c1257a6c0053e7d8!OpenDocument,1050,2007-02-01
"BG Leopoldstadt, 17 S 63/06t",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/c503c0aca3091b4bc1257a6c005ec620!OpenDocument,1020,2007-02-01
"BG Favoriten, 45 S 34/06z",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/2b5e531a600eb81fc1257a6c00588695!OpenDocument,1100,2007-02-01
"BG Josefstadt, 12 S 4/07x",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/34c4612e1a7fab18c1257a6c005c5034!OpenDocument,1070,2007-02-01
"BG Innere Stadt Wien, 63 S 2/07y",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/2576de8eda910db2c1257a6c0053e9aa!OpenDocument,1030,2007-02-01
"BG Favoriten, 44 S 5/07d",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/3777e24d3e350fe6c1257a6c00585e5a!OpenDocument,1100,2007-02-01
"BG Tulln, 5 S 4/07d",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/d16b6bf01fa790dec1257a6c0062ac27!OpenDocument,3483,2007-02-01
"BG Donaustadt, 12 S 39/06i",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/e97a815e13b0bf8ac1257a6c005bb4e5!OpenDocument,1220,2007-02-01
"BG Zell am See, 80 S 2/07f",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/6afe87f2646b9bb4c1257a6c0069c36f!OpenDocument,5710,2007-02-01
"BG Favoriten, 13 S 75/05t",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/f36d74ea35510862c1257a6c0057e825!OpenDocument,1100,2007-02-01
"HG Wien, 4 Se 5/07y",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/9e5a55adfc5a5bd5c1257a6c0056c37b!OpenDocument,1070,2007-02-01
